condition,index,iter,objective,time
Sample discretes,0,0,-844.4691254556817,0.055102303996682166
Sample discretes,1,5,-439.79272254881977,0.15921555399894716
Sample discretes,2,11,-302.8982389593233,0.2630768840014934
Sample discretes,3,18,-257.2218771820796,0.3731010079979897
Sample discretes,4,24,-247.8714455938414,0.4976169590055943
Sample discretes,5,30,-244.46331296991454,0.5988329319953919
Sample discretes,6,36,-245.7932172526692,0.7032521360069514
Sample discretes,7,42,-243.08172284815186,0.8045066889971495
Sample discretes,8,48,-242.37933108020607,0.9094760250002146
Sample discretes,9,54,-242.578416196512,1.0177372210025788
Sample discretes,10,61,-241.32264448909714,1.1334897450059653
Sample discretes,11,67,-241.56467545536316,1.2772978959977628
Sample discretes,12,71,-241.9704708699482,1.3801432240009308
Sample discretes,13,78,-242.18213638345614,1.4845382920056582
Sample discretes,14,84,-241.8776820641259,1.5932444179952145
Sample discretes,15,90,-241.62199162234202,1.7010567850023508
Sample discretes,16,96,-239.61592220040228,1.832967669993639
Sample discretes,17,102,-241.40155976567254,1.9373654370009898
Sample discretes,18,108,-240.87912285310975,2.0510014970004558
Sample discretes,19,115,-241.0325240219247,2.1599043139964342
Sample discretes,20,121,-240.63387672029717,2.2603384310007097
Sample discretes,21,128,-242.10953813519478,2.371011463999748
Sample discretes,22,133,-240.94135594039344,2.474355807006359
Sample discretes,23,139,-240.6922596884246,2.606965580999851
Sample discretes,24,145,-241.51259466891358,2.716304355993867
Sample discretes,25,151,-240.99918627559305,2.832311885997653
Sample discretes,26,156,-240.5026373971379,2.951728229999542
Sample discretes,27,160,-241.62306360728195,3.11351670999825
Sample discretes,28,167,-240.92831601597806,3.2300230299979447
Sample discretes,29,173,-240.60640405229572,3.337152602002025
Sample discretes,30,179,-240.580730631597,3.442737967997789
Sample discretes,31,185,-240.40240347792098,3.546517860993743
Sample discretes,32,191,-240.3557062192676,3.646647673994303
Sample discretes,33,197,-240.54642773789058,3.7473020790070297
Sample discretes,0,0,-834.3176519316315,0.03535775899887085
Sample discretes,1,6,-418.74267971381204,0.1470597179979086
Sample discretes,2,12,-305.88621929970685,0.2540494690090418
Sample discretes,3,19,-269.51019501435917,0.39161509600281713
Sample discretes,4,25,-256.5685619707348,0.5000183640122413
Sample discretes,5,30,-251.1147372396984,0.605472718000412
Sample discretes,6,35,-250.12306129528355,0.7063372009992599
Sample discretes,7,40,-248.33157145885556,0.8072590560019016
Sample discretes,8,46,-247.01314091051714,0.9126867530047893
Sample discretes,9,52,-246.61428949840462,1.019412339001894
Sample discretes,10,58,-246.93584520838533,1.1258630660027265
Sample discretes,11,64,-245.34853207188863,1.2294454060047866
Sample discretes,12,70,-245.5233857275331,1.3430818570107221
Sample discretes,13,75,-248.36734931412383,1.4526311810016632
Sample discretes,14,77,-246.45797842498493,1.6156122610121966
Sample discretes,15,83,-245.10218080390146,1.7152698130011559
Sample discretes,16,90,-245.7467133384261,1.8262988720089197
Sample discretes,17,96,-245.74806520592873,1.9292714520096779
Sample discretes,18,102,-246.8621810931072,2.029532077997923
Sample discretes,19,108,-245.0115688453812,2.136761816009879
Sample discretes,20,114,-245.82822538678286,2.2411382610052826
Sample discretes,21,120,-244.83429974461066,2.3439590300023556
Sample discretes,22,126,-245.37730929816098,2.468104129999876
Sample discretes,23,132,-245.12188513764747,2.5705477910041807
Sample discretes,24,138,-246.3364062134426,2.6724265280067923
Sample discretes,25,145,-245.46221722842105,2.781913797006011
Sample discretes,26,151,-245.5814125301942,2.886977658003569
Sample discretes,27,156,-245.42377883484642,3.003594703003764
Sample discretes,28,160,-244.43008440776293,3.221080401003361
Sample discretes,29,167,-247.12814682341133,3.329811980009079
Sample discretes,30,173,-245.59328412385182,3.437754452005029
Sample discretes,31,179,-245.22089210768348,3.5406225100010635
Sample discretes,32,185,-246.25209532585328,3.6425867490023376
Sample discretes,33,191,-245.28694789256588,3.7500362180024385
Sample discretes,34,197,-244.38110763654,3.8586684970110654
Sample discretes,0,0,-913.89709243863,0.03142094200849533
Sample discretes,1,5,-461.1340153314997,0.1329897240102291
Sample discretes,2,11,-303.606037499247,0.23654298500716686
Sample discretes,3,17,-261.14610482689216,0.34197092001140117
Sample discretes,4,23,-247.97950242922948,0.4677372720092535
Sample discretes,5,29,-245.12159742113369,0.5709885210096836
Sample discretes,6,35,-243.8848394191002,0.6721731050014496
Sample discretes,7,41,-241.93947644562104,0.777842819005251
Sample discretes,8,47,-241.87606673640204,0.8876401020139456
Sample discretes,9,53,-240.4363947592852,0.9960259420126677
Sample discretes,10,59,-241.76167159660173,1.110054395005107
Sample discretes,11,63,-240.4776942827484,1.2099849660098552
Sample discretes,12,67,-242.8421491513107,1.3123637250065803
Sample discretes,13,68,-240.45791459019182,1.4533302370011807
Sample discretes,14,75,-241.18915536344397,1.5676509750038385
Sample discretes,15,81,-240.11057124138222,1.678890286013484
Sample discretes,16,87,-240.70711588538535,1.7875002100020647
Sample discretes,17,92,-240.39651791391574,1.8877108520120383
Sample discretes,18,98,-241.5846971673126,1.9953766920119524
Sample discretes,19,104,-240.43811553851276,2.1009911020100116
Sample discretes,20,110,-240.70874078685614,2.211495304003358
Sample discretes,21,116,-240.58247916305305,2.322301816999912
Sample discretes,22,122,-239.78258981592992,2.431789091005921
Sample discretes,23,128,-242.33495869211478,2.5695328020006416
Sample discretes,24,134,-239.97091491605138,2.6811646780073644
Sample discretes,25,140,-240.05813500945035,2.788467272013426
Sample discretes,26,146,-239.95222583713428,2.9005269400030373
Sample discretes,27,150,-239.7678785549359,3.0020629860013726
Sample discretes,28,153,-240.2378576955755,3.1750017360001803
Sample discretes,29,160,-239.9897367127221,3.295876015007496
Sample discretes,30,165,-239.59454345655274,3.3965314100086688
Sample discretes,31,171,-239.43857291880914,3.501678249001503
Sample discretes,32,177,-239.55011225479777,3.612408870011568
Sample discretes,33,183,-239.4102302148139,3.7180618939995767
Sample discretes,34,189,-240.12687755689265,3.824673844009638
Sample discretes,35,195,-239.1771760986407,3.9325960810035467
Sample discretes,0,0,-945.721831870121,0.06080773700773716
Sample discretes,1,6,-437.89087142577836,0.16907998399436475
Sample discretes,2,11,-318.3010586769103,0.26875597800314427
Sample discretes,3,17,-270.7323927750075,0.3791947450041771
Sample discretes,4,23,-255.07166227976333,0.4892329770028591
Sample discretes,5,29,-249.8960374832012,0.5928190450072288
Sample discretes,6,35,-245.5515238067685,0.6959947949945927
Sample discretes,7,41,-242.252618452759,0.8002637079954147
Sample discretes,8,47,-243.24686873750267,0.907810374006629
Sample discretes,9,52,-243.8255067861677,1.0214891140013933
Sample discretes,10,57,-241.21168034384797,1.257869442000985
Sample discretes,11,63,-242.76326663797525,1.3633625780045986
Sample discretes,12,69,-240.7997569104472,1.4730330030024053
